Date,Region,Product,Marketing_Channel,Quarter,Spend,Impressions,Clicks,Conversions,Revenue,CTR,CPC,ROI
04-02-2024 00:00,East,Product B,Email,Q1,3258.37,6139,843,34,16217.39,0.1373,3.87,3.9771
11-02-2024 00:00,North,Product C,Direct Mail,Q2,3091.34,4665,150,37,18223.16,0.0322,20.61,4.8949
18-02-2024 00:00,North,Product B,Social Media,Q4,1761.01,5688,315,21,15528.62,0.0554,5.59,7.818
25-02-2024 00:00,South,Product B,Social Media,Q4,2712.51,9938,859,2,4735.08,0.0864,3.16,0.7456
03-03-2024 00:00,West,Product C,Social Media,Q1,1054.71,7302,670,28,15020.08,0.0918,1.57,13.241
10-03-2024 00:00,South,Product C,Social Media,Q3,4080.86,3958,336,20,16097.73,0.0849,12.15,2.9447
17-03-2024 00:00,East,Product C,Direct Mail,Q3,560.38,9916,916,50,9119.65,0.0924,0.61,15.274
24-03-2024 00:00,East,Product B,Email,Q2,4938.96,7697,224,4,8729.93,0.0291,22.05,0.7676
31-03-2024 00:00,West,Product C,Social Media,Q1,2740.13,1400,384,19,15481.38,0.2743,7.14,4.6499
07-04-2024 00:00,South,Product B,Email,Q1,2876.66,1162,939,16,8230.09,0.8081,3.06,1.861
14-04-2024 00:00,South,Product A,Search Engine,Q1,4378.21,1137,941,35,5826.28,0.8276,4.65,0.3307
21-04-2024 00:00,West,Product D,Social Media,Q1,4941.79,7902,141,38,13406.82,0.0178,35.05,1.7129
28-04-2024 00:00,East,Product B,Email,Q1,1376.02,4872,922,40,6238.04,0.1892,1.49,3.5334
05-05-2024 00:00,North,Product B,Direct Mail,Q3,3324.53,7993,377,42,8491.86,0.0472,8.82,1.5543
12-05-2024 00:00,North,Product D,Search Engine,Q1,2318.27,3481,688,26,2667.33,0.1976,3.37,0.1506
19-05-2024 00:00,East,Product C,Social Media,Q4,2417.89,8982,282,29,10829.6,0.0314,8.57,3.4789
26-05-2024 00:00,North,Product A,Email,Q3,610.83,5841,357,45,1134.52,0.0611,1.71,0.8573
02-06-2024 00:00,East,Product C,Email,Q2,1203.33,5425,764,36,2873.42,0.1408,1.58,1.3879
09-06-2024 00:00,East,Product A,Email,Q1,1532.29,8742,635,20,5409.03,0.0726,2.41,2.53
16-06-2024 00:00,East,Product D,Email,Q1,3114.54,7818,441,39,7945.99,0.0564,7.06,1.5513
23-06-2024 00:00,North,Product A,Search Engine,Q1,1321.6,1888,203,41,5218.27,0.1075,6.51,2.9484
30-06-2024 00:00,North,Product B,Direct Mail,Q4,2383.64,3052,287,36,3515.7,0.094,8.31,0.4749
07-07-2024 00:00,East,Product B,Email,Q4,4165.55,5640,532,22,8609.61,0.0943,7.83,1.0669
14-07-2024 00:00,North,Product A,Search Engine,Q4,3637.12,7365,709,12,9941.12,0.0963,5.13,1.7332
21-07-2024 00:00,West,Product B,Social Media,Q4,4462.95,6323,504,25,15075.84,0.0797,8.86,2.378
28-07-2024 00:00,North,Product C,Search Engine,Q2,2009.35,1147,543,16,16548.38,0.4734,3.7,7.2357
04-08-2024 00:00,North,Product B,Direct Mail,Q1,3950.09,8663,227,43,9338.99,0.0262,17.4,1.3642
11-08-2024 00:00,South,Product B,Search Engine,Q1,1287.89,1530,781,19,18695.55,0.5105,1.65,13.5164
18-08-2024 00:00,East,Product B,Social Media,Q1,3378.78,5196,723,42,1023.81,0.1391,4.67,-0.697
25-08-2024 00:00,North,Product C,Email,Q4,3632.86,8716,259,44,15651.6,0.0297,14.03,3.3083
01-09-2024 00:00,South,Product C,Direct Mail,Q1,1154.84,4205,538,3,4112.01,0.1279,2.15,2.5607
08-09-2024 00:00,South,Product D,Social Media,Q4,1862.04,3569,774,11,8787.16,0.2169,2.41,3.7191
15-09-2024 00:00,West,Product C,Email,Q3,1555.73,9432,623,29,18952.14,0.0661,2.5,11.1822
22-09-2024 00:00,East,Product C,Social Media,Q2,3973.06,4187,619,5,13059.27,0.1478,6.42,2.287
29-09-2024 00:00,West,Product C,Direct Mail,Q2,3970.41,1114,869,46,6219.6,0.7801,4.57,0.5665
06-10-2024 00:00,South,Product B,Direct Mail,Q2,2946.93,9307,583,39,5436.82,0.0626,5.05,0.8449
13-10-2024 00:00,West,Product B,Direct Mail,Q4,2916.69,2060,172,17,11932.58,0.0835,16.96,3.0911
20-10-2024 00:00,East,Product B,Email,Q1,3636.93,6856,352,26,18906.16,0.0513,10.33,4.1984
27-10-2024 00:00,West,Product A,Search Engine,Q3,3540.6,8400,979,28,17279.68,0.1165,3.62,3.8804
03-11-2024 00:00,East,Product D,Social Media,Q1,950.21,9942,530,31,12641.66,0.0533,1.79,12.3041
10-11-2024 00:00,North,Product D,Social Media,Q4,2056.67,5688,583,49,14541.76,0.1025,3.53,6.0705
17-11-2024 00:00,West,Product A,Email,Q1,2756.2,5013,664,31,6824.82,0.1325,4.15,1.4762
24-11-2024 00:00,East,Product C,Email,Q2,1328.71,1941,177,1,9215.72,0.0912,7.51,5.9358
